College America - Flagstaff,Flagstaff,AZ
Arizona Academy of Beauty Inc,Tucson,AZ
Arizona Automotive Institute,Glendale,AZ
International Institute of the Americas,Phoenix,AZ
Arizona State University,Tempe,AZ
Arizona Western College,Yuma,AZ
University of Arizona,Tucson,AZ
Southwest University of Visual Arts,Tucson,AZ
Brillare Hairdressing Academy - Scottsdale,Scottsdale,AZ
Central Arizona College,Coolidge,AZ
Charles of Italy Beauty College,Lake Havasu City,AZ
Cochise College,Douglas,AZ
Cortiva Institute - Tucson,Tucson,AZ
DeVoe College of Beauty,Sierra Vista,AZ
Avalon School of Cosmetology,Mesa,AZ
Eastern Arizona College,Thatcher,AZ
Frank Lloyd Wright School of Architecture,Scottsdale,AZ
Maricopa Community Colleges - Glendale Community College,Glendale,AZ
Grand Canyon University,Phoenix,AZ
Anthem College - Phoenix,Phoenix,AZ
International Academy of Hair Design - Mesa,Mesa,AZ
Lamson College,Tempe,AZ
Kaplan College - Phoenix,Phoenix,AZ
Maricopa Beauty College,Avondale,AZ
Maricopa Community College System Office,Tempe,AZ
Maricopa Community Colleges - Gateway Community College,Phoenix,AZ
Maricopa Community Colleges - Mesa Community College,Mesa,AZ
Mohave Community College,Kingman,AZ
Motorcycle Mechanics Institute a div. of Universal Technical Institute,Phoenix,AZ
Mundus Institute,Phoenix,AZ
Dine College,Tsaile,AZ
Northern Arizona University,Flagstaff,AZ
Northland Pioneer College,Holbrook,AZ
"Paralegal Institute, Inc.",Scottsdale,AZ
Empire Beauty School - Glendale,Glendale,AZ
Phoenix Therapeutic Massage College,Scottsdale,AZ
University of Phoenix,Tempe,AZ
Pima Community College,Tucson,AZ
Pima Medical Institute,Tucson,AZ
Prescott College,Prescott,AZ
Refrigeration School Inc,Phoenix,AZ
Roberto-Venn School of Luthiery,Phoenix,AZ
Hair Academy of Safford,Safford,AZ
Long Technical College - East Valley,Phoenix,AZ
Tucson College,Tucson,AZ
Universal Technical Institute of Arizona Inc,Avondale,AZ
Metropolitan College,Phoenix,AZ
Western International University,Tempe,AZ
Yavapai College,Prescott,AZ
University of Arkansas at Little Rock,Little Rock,AR
University of Arkansas for Medical Sciences,Little Rock,AR
"ABC Beauty College, Inc.",Arkadelphia,AR
Arkansas Baptist College,Little Rock,AR
Arkansas Beauty School - Little Rock,Little Rock,AR
Arkansas Beauty College,Russellville,AR
Lyon College,Batesville,AR
Arkansas College of Barbering and Hair Design,North Little Rock,AR
"Arthur's Beauty College, Inc - Fort Smith",Fort Smith,AR
"University of Arkansas, Fayetteville",Fayetteville,AR
University of Arkansas at Pine Bluff,Pine Bluff,AR
Arkansas State University - Beebe,Beebe,AR
Arkansas State University,State University,AR
Arkansas Tech University,Russellville,AR
University of Arkansas at Monticello,Monticello,AR
"Arthur's Beauty College, Inc. - Jacksonville",Jacksonville,AR
Baptist Health Schools Little Rock,Little Rock,AR
Bee-Jay's Hairstyling Academy,Little Rock,AR
Black River Technical College,Pocahontas,AR
University of Central Arkansas,Conway,AR
Central Baptist College,Conway,AR
Creative School of Cosmetology,Blytheville,AR
Cossatot Community College of the University of Arkansas,De Queen,AR
Crowley's Ridge College,Paragould,AR
Crowleys Ridge Technical Institute,Forrest City,AR
De Luxe Beauty School,Pine Bluff,AR
East Arkansas Community College,Forrest City,AR
Eastern College of Health Vocations,Little Rock,AR
Imagine - Paul Mitchell Partner School,North Little Rock,AR
National Park College,Hot Springs,AR
University of Arkansas Community College-Batesville,Batesville,AR
Harding University,Searcy,AR
Henderson State University,Arkadelphia,AR
Hendrix College,Conway,AR
Hot Springs Beauty College,Hot Springs,AR
JRMC School of Nursing,Pine Bluff,AR
John Brown University,Siloam Springs,AR
Lee's School of Cosmetology,North Little Rock,AR
Career Academy of Hair Design,Springdale,AR
Little Rock Job Corp Center,Little Rock,AR
Marsha Kay Beauty College,Mountain Home,AR
Academy of Salon and Spa,Fort Smith,AR
Mid-South Community College,West Memphis,AR
Arkansas Northeastern College,Blytheville,AR
"Margaret's Hair Academy, Inc.",Russellville,AR
New Tyler Barber College Inc,North Little Rock,AR
North Arkansas College,Harrison,AR
Northwest Technical Institute,Springdale,AR
Ouachita Baptist University,Arkadelphia,AR
College of the Ouachitas,Malvern,AR
Ozarka College,Melbourne,AR
University of the Ozarks,Clarksville,AR
University of Arkansas Community College-Morrilton,Morrilton,AR
Philander Smith College,Little Rock,AR
Phillips Community College of the University of Arkansas,Helena,AR
Southeast Arkansas College,Pine Bluff,AR
Professional Cosmetology Education Center,El Dorado,AR
Pulaski Technical College,North Little Rock,AR
University of Arkansas Community College-Hope,Hope,AR
Rich Mountain Community College,Mena,AR
Paul Mitchell The School Arkansas,Fayetteville,AR
CHI-St. Vincent Infirmary,Little Rock,AR
Searcy Beauty College Inc,Searcy,AR
Williams Baptist College,Walnut Ridge,AR
South Arkansas Community College,El Dorado,AR
Southern Arkansas University Main Campus,Magnolia,AR
Southern Arkansas University Tech,Camden,AR
Velvatex College of Beauty Culture,Little Rock,AR
University of Arkansas-Fort Smith,Fort Smith,AR
Abram Friedman Occupational Center,Los Angeles,CA
Academy of Art University,San Francisco,CA
Academy of Chinese Culture and Health Sciences,Oakland,CA
Academy of Radio and Television Broadcasting,Huntington Beach,CA
Academy Pacific Travel College,Los Angeles,CA
Avalon School of Cosmetology - Alameda,Alameda,CA
College of Alameda,Alameda,CA
Allan Hancock College,Santa Maria,CA
American Baptist Seminary of the West,Berkeley,CA
American Film Institute,Los Angeles,CA
American Beauty College,West Covina,CA
American Career College,Los Angeles,CA
American Conservatory Theater,San Francisco,CA
American Graduate University,Covina,CA
American River College,Sacramento,CA
Everest Institute - Hayward,Hayward,CA
Antelope Valley College,Lancaster,CA
Art Center College of Design,Pasadena,CA
Associated Technical College,Los Angeles,CA
Azusa Pacific University,Azusa,CA
Bakersfield College,Bakersfield,CA
Barstow Community College,Barstow,CA
Bellus Academy - National City,National City,CA
Bethany University,Scotts Valley,CA
Bethesda University,Anaheim,CA
Biola University,La Mirada,CA
Brooks College,Long Beach,CA
Brownson Technical School,Anaheim,CA
Butte College,Oroville,CA
Phillips Graduate University,Chatsworth,CA
California Institute of Integral Studies,San Francisco,CA
Cabrillo College,Aptos,CA
California Baptist University,Riverside,CA
University of California Hastings College of Law,San Francisco,CA
California Institute of Technology,Pasadena,CA
California Lutheran University,Thousand Oaks,CA
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA
Alliant International University,San Diego,CA
California State University - Bakersfield,Bakersfield,CA
California State University - Stanislaus,Turlock,CA
California State University - San Bernardino,San Bernardino,CA
"California State Polytechnic University, Pomona",Pomona,CA
California State University - Chico,Chico,CA
California State University - Dominguez Hills,Carson,CA
California State University - Fresno,Fresno,CA
California State University - Fullerton,Fullerton,CA
California State University - East Bay,Hayward,CA
California State University - Long Beach,Long Beach,CA
California State University - Los Angeles,Los Angeles,CA
California State University - Northridge,Northridge,CA
California State University - Sacramento,Sacramento,CA
"University of California, Berkeley",Berkeley,CA
University of California - Davis,Davis,CA
"University of California, Irvine",Irvine,CA
University of California - Los Angeles,Los Angeles,CA
"University of California, Riverside",Riverside,CA
University of California - San Diego,La Jolla,CA
"University of California, San Francisco",San Francisco,CA
"University of California, Santa Barbara",Santa Barbara,CA
"University of California, Santa Cruz",Santa Cruz,CA
Sofia University,Palo Alto,CA
Mountain Oaks Adult Education Center,Vacaville,CA
California Beauty College,Modesto,CA
California Christian College,Fresno,CA
California Coast University,Santa Ana,CA
California College-San Diego,San Diego,CA
California Hair Design Academy,La Mesa,CA
California Institute of the Arts,Valencia,CA
California State University Maritime Academy,Vallejo,CA
California Western School of Law,San Diego,CA
Canada College,Redwood City,CA
College of the Canyons,Santa Clarita,CA
Career Academy of Beauty,Garden Grove,CA
Casa Loma College,Van Nuys,CA
Center for Employment Training - San Diego,San Diego,CA
Center for Employment Training,San Jose,CA
Center for Employment Training - Riverside,Riverside,CA
Cerritos College,Norwalk,CA
Cerro Coso Community College,Ridgecrest,CA
Chabot College,Hayward,CA
Chaffey College,Rancho Cucamonga,CA
Chapman University,Orange,CA
Charles R. Drew University of Medicine and Science,Los Angeles,CA
Concordia University Irvine,Irvine,CA
San Diego Christian College,Santee,CA
Church Divinity School of the Pacific,Berkeley,CA
Citrus College,Glendora,CA
City College of San Francisco,San Francisco,CA
Claremont Graduate University,Claremont,CA
Claremont McKenna College,Claremont,CA
Milan Institute - Visalia,Visalia,CA
Clovis Adult Education,Clovis,CA
Coastline Community College,Fountain Valley,CA
Cogswell Polytechnical College,San Jose,CA
Coleman University,San Diego,CA
Coba Cosmetology Academy,Orange,CA
National Polytechnic College of Science,Wilmington,CA
Western University of Health Sciences,Pomona,CA
Columbia College,Sonora,CA
Columbia College Hollywood,Tarzana,CA
Morgan Hill Community Adult School,Morgan Hill,CA
Compton Community College,Compton,CA
Western Beauty Institute,Panorama City,CA
Contra Costa College,San Pablo,CA
Cosumnes River College,Sacramento,CA
Crafton Hills College,Yucaipa,CA
Crenshaw-Washington Community Adult School,Los Angeles,CA
Cuesta College,San Luis Obispo,CA
Cuyamaca College,El Cajon,CA
Cypress College,Cypress,CA
De Anza College,Cupertino,CA
Marinello School of Beauty - Hemet,Hemet,CA
Deep Springs College,Big Pine,CA
Dell'Arte International School of Physical Theatre,Blue Lake,CA
College of the Desert,Palm Desert,CA
Design Institute of San Diego,San Diego,CA
Kasson Adult School - Deuel Vocational Institution,Tracy,CA
Diablo Valley College,Pleasant Hill,CA
Dominican University of California,San Rafael,CA
Dominican School of Philosophy and Theology,Berkeley,CA
Don Bosco Technical Institute,Rosemead,CA
East Los Angeles College,Monterey Park,CA
East Los Angeles Occupational Center,Los Angeles,CA
Marinello School of Beauty - Santa Clara,Santa Clara,CA
SDCCD Continuing Education,San Diego,CA
El Camino College,Torrance,CA
Elegance International,Hollywood,CA
Marinello School of Beauty - Burbank,Burbank,CA
Marinello School of Beauty - Moreno Valley,Moreno Valley,CA
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA
Empire College,Santa Rosa,CA
Evergreen Valley College,San Jose,CA
FIDM/Fashion Institute of Design & Merchandising,Los Angeles,CA
Fashion Careers College,San Diego,CA
Feather River College,Quincy,CA
Federico Beauty Institute,Sacramento,CA
Fielding Graduate University,Santa Barbara,CA
"Five Branches University:  Graduate School of Traditional Chinese Medicine - Santa Cruz, CA",Santa Cruz,CA
Hair California Beauty Academy,Orange,CA
Foothill College,Los Altos Hills,CA
Franciscan School of Theology,Oceanside,CA
Fredrick and Charles Beauty College,Eureka,CA
Fresno City College,Fresno,CA
Fresno Pacific University,Fresno,CA
Fuller Theological Seminary,Pasadena,CA
Fullerton College,Fullerton,CA
Galen College of Medical and Dental Assistants,Modesto,CA
Gavilan College,Gilroy,CA
Gemological Institute of America,Carlsbad,CA
Glendale Community College,Glendale,CA
Gateway Seminary,Ontario,CA
Golden Gate University,San Francisco,CA
Golden West College,Huntington Beach,CA
Graduate Theological Union,Berkeley,CA
Grossmont Adult School,El Cajon,CA
Grossmont College,El Cajon,CA
Salon Success Academy - San Bernardino,Riverside,CA
Harbor Occupational Center,San Pedro,CA
Hartnell College,Salinas,CA
Harvey Mudd College,Claremont,CA
Hilltop Beauty School,Daly City,CA
Holy Names University,Oakland,CA
Pacifica Graduate Institute,Carpinteria,CA
Humboldt State University,Arcata,CA
Humphreys College,Stockton,CA
Imperial Valley College,Imperial,CA
Institute for Business and Technology,Santa Clara,CA
ICR Graduate School,Santee,CA
LA College International,Los Angeles,CA
Interior Designers Institute,Newport Beach,CA
TONI & GUY Hairdressing Academy - Santa Monica,Santa Monica,CA
Irvine Valley College,Irvine,CA
Bellus Academy - El Cajon,El Cajon,CA
John F Kennedy University,Pleasant Hill,CA
American Jewish University,Los Angeles,CA
Reedley College,Reedley,CA
Life Pacific College,San Dimas,CA
University of La Verne,La Verne,CA
Laguna College of Art and Design,Laguna Beach,CA
Lake Tahoe Community College,South Lake Tahoe,CA
Lancaster Beauty School,Lancaster,CA
Laney College,Oakland,CA
Lassen Community College,Susanville,CA
Life Chiropractic College-West,Hayward,CA
Lincoln University,Oakland,CA
Southern California Seminary,El Cajon,CA
La Sierra University,Riverside,CA
Loma Linda University,Loma Linda,CA
Long Beach City College,Long Beach,CA
Southern California University of Health Sciences,Whittier,CA
Los Angeles Harbor College,Wilmington,CA
Los Angeles Pierce College,Woodland Hills,CA
Los Angeles Southwest College,Los Angeles,CA
Los Angeles Trade Technical College,Los Angeles,CA
Los Angeles Valley College,Valley Glen,CA
The Master's College and Seminary,Santa Clarita,CA
Los Angeles City College,Los Angeles,CA
L.A. County Harbor/UCLA Medical Center,Torrance,CA
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA
Los Angeles Mission College,Sylmar,CA
Los Medanos College,Pittsburg,CA
Loyola Marymount University,Los Angeles,CA
Manchester Beauty College,Fresno,CA
Tulare Beauty College,Tulare,CA
Lytle's Redwood Empire Beauty College Inc,Santa Rosa,CA
"MTI Business College of Stockton, Inc",Stockton,CA
MTI College,Sacramento,CA
Brightwood College - Sacramento,Sacramento,CA
Brightwood College - San Diego,San Diego,CA
Brightwood College - Vista,Vista,CA
College of Marin,Kentfield,CA
Marinello School of Beauty - Los Angeles,Los Angeles,CA
Marymount California University,Rancho Palos Verdes,CA
Mendocino College,Ukiah,CA
Menlo College,Atherton,CA
Fresno Pacific Biblical Seminary,Fresno,CA
Merced College,Merced,CA
Merritt College,Oakland,CA
Mills College,Oakland,CA
Miracosta College,Oceanside,CA
Marinello School of Beauty - San Francisco,San Francisco,CA
Mission College,Santa Clara,CA
Modern Beauty Academy,Oxnard,CA
Brightwood College - North Hollywood,North Hollywood,CA
Modesto Junior College,Modesto,CA
Moler Barber College,Oakland,CA
Monterey Peninsula College,Monterey,CA
Montessori Teacher Education Center - San Francisco Bay Area,Sunnyvale,CA
Montessori Center for Teacher Education,San Diego,CA
Montessori Western Teacher Training Program,Garden Grove,CA
Moorpark College,Moorpark,CA
Moro Beauty College,Glendale,CA
Mt San Antonio College,Walnut,CA
Mount Saint Mary's University,Los Angeles,CA
Mt San Jacinto College,San Jacinto,CA
Mueller College,San Diego,CA
Musicians Institute,Hollywood,CA
Napa Valley College,Napa,CA
Everest Institute - San Francisco,San Francisco,CA
Everest College - Reseda,Reseda,CA
Everest College - Los Angeles,Los Angeles,CA
Everest Institute - San Jose,San Jose,CA
Everest College - Gardena,Gardena,CA
Everest College - Alhambra,Alhambra,CA
Everest College - San Bernardino,San Bernardino,CA
The National Hispanic University,San Jose,CA
National Holistic Institute,Emeryville,CA
National University,La Jolla,CA
Naval Postgraduate School,Monterey,CA
New College of California,San Francisco,CA
NewSchool of Architecture and Design,San Diego,CA
Newberry School of Beauty,Granada Hills,CA
North Adrian's Beauty College,Modesto,CA
North Valley Occupational Center - Aviation Center,Mission Hills,CA
North-West College - Pomona,Pomona,CA
North-West College-West Covina,West Covina,CA
North-West College - Pasadena,Pasadena,CA
Northwestern Polytechnic University,Fremont,CA
Notre Dame de Namur University,Belmont,CA
Occidental College,Los Angeles,CA
Oceanside College of Beauty,Oceanside,CA
Ohlone College,Fremont,CA
Opportunities Industrialization Center - West,Menlo Park,CA
Orange Coast College,Costa Mesa,CA
Otis College of Art and Design,Los Angeles,CA
Oxnard College,Oxnard,CA
Hope International University,Fullerton,CA
Concorde Career College,San Diego,CA
Palo Alto University,Palo Alto,CA
Pacific Oaks College,Pasadena,CA
Pacific School of Religion,Berkeley,CA
Pacific States University,Los Angeles,CA
Pacific Union College,Angwin,CA
University of the Pacific,Stockton,CA
Pacoima Skills Center,Pacoima,CA
Palo Verde College,Blythe,CA
Palomar College,San Marcos,CA
Paris Beauty College,Concord,CA
Pasadena City College,Pasadena,CA
Patten University,Oakland,CA
Peninsula Medical Center/Mills-Peninsula Health Services,Burlingame,CA
Pepperdine University,Malibu,CA
Pitzer College,Claremont,CA
Platt College-San Diego,San Diego,CA
Point Loma Nazarene University,San Diego,CA
Pomona College,Claremont,CA
Porterville College,Porterville,CA
Westwood College - Long Beach,Long Beach,CA
Professional Institute of Beauty,El Monte,CA
Queen of the Holy Rosary College,Fremont,CA
Santa Ana College,Santa Ana,CA
Pardee RAND Graduate School,Santa Monica,CA
University of Redlands,Redlands,CA
College of the Redwoods,Eureka,CA
Salon Success Academy - Upland,Upland,CA
Salon Success Academy,Corona,CA
Rio Hondo College,Whittier,CA
Riverside City College,Riverside,CA
Rosemead Beauty School,Rosemead,CA
Dongguk University - Los Angeles,Los Angeles,CA
Sacramento City College,Sacramento,CA
Saddleback College,Mission Viejo,CA
St. John's Seminary in California,Camarillo,CA
St. Patrick's Seminary and University,Menlo Park,CA
Salvation Army College for Officer Training at Crestmont,Rancho Palos Verdes,CA
Samra University of Oriental Medicine,Los Angeles,CA
Samuel Merritt University,Oakland,CA
San Diego City College,San Diego,CA
San Diego Mesa College,San Diego,CA
San Diego Miramar College,San Diego,CA
San Diego State University,San Diego,CA
University of San Diego,San Diego,CA
San Francisco Art Institute,San Francisco,CA
San Francisco Conservatory of Music,San Francisco,CA
San Francisco State University,San Francisco,CA
San Francisco Theological Seminary,San Anselmo,CA
University of San Francisco,San Francisco,CA
San Joaquin College of Law,Clovis,CA
San Joaquin Delta College,Stockton,CA
San Joaquin General Hospital,French Camp,CA
San Joaquin Valley College,Visalia,CA
William Jessup University,Rocklin,CA
San Jose City College,San Jose,CA
San Jose State University,San Jose,CA
College of San Mateo,San Mateo,CA
Santa Barbara Business College - Bakersfield,Bakersfield,CA
Santa Barbara Business College - Santa Maria,Santa Maria,CA
Santa Barbara City College,Santa Barbara,CA
Santa Clara University,Santa Clara,CA
Santa Monica College,Santa Monica,CA
Santa Rosa Junior College,Santa Rosa,CA
Saybrook University,Oakland,CA
Scripps College,Claremont,CA
WyoTech - Fremont,Fremont,CA
College of the Sequoias,Visalia,CA
Shasta Bible College & Graduate School,Redding,CA
Shasta College,Redding,CA
Sierra College,Rocklin,CA
Sierra College of Beauty,Merced,CA
Sierra Valley College of Court Reporting,Fresno,CA
Simpson University,Redding,CA
College of the Siskiyous,Weed,CA
Charles A. Jones Skills and Business Education Center,Sacramento,CA
Skyline College,San Bruno,CA
San Bernardino Valley College,San Bernardino,CA
Saint Mary's College of California,Moraga,CA
Solano Community College,Fairfield,CA
Sonoma State University,Rohnert Park,CA
Pinnacle College,Alhambra,CA
South Baylo University,Anaheim,CA
South Coast College,Orange,CA
Vanguard University of Southern California,Costa Mesa,CA
Southwestern College,Chula Vista,CA
St. John's Seminary (CA),Camarillo,CA
St. Giles College,San Francisco,CA
Starr King School for the Ministry,Berkeley,CA
Marshall B. Ketchum University,Fullerton,CA
Southern California Institute of Architecture,Los Angeles,CA
University of Southern California,Los Angeles,CA
Southwestern Law School,Los Angeles,CA
Taft College,Taft,CA
Cambridge Junior College - Yuba City,Yuba City,CA
Claremont School of Theology,Claremont,CA
Thomas Aquinas College,Santa Paula,CA
Marinello School of Beauty - Lake Forest,Lake Forest,CA
Travel and Trade Career Institute,Long Beach,CA
Travel University International,San Diego,CA
Epic Bible College and Graduate School,Sacramento,CA
Truck Marketing Institute,Carpinteria,CA
Universal College of Beauty Inc,Los Angeles,CA
Vallecitos CET Inc,Hayward,CA
Ventura College,Ventura,CA
Bridges Beauty College,Victorville,CA
Victor Valley College,Victorville,CA
Berkeley City College,Berkeley,CA
Walden University,Minneapolis,MN
Maxine Waters Employment Preparation Center,Los Angeles,CA
West Hills College - Coalinga,Coalinga,CA
West Los Angeles College,Culver City,CA
The University of West Los Angeles,Inglewood,CA
West Valley College,Saratoga,CA
West Valley Occupational Center,Woodland Hills,CA
Carrington College California - Sacramento,Sacramento,CA
Westminster Theological Seminary California,Escondido,CA
Westmont College,Santa Barbara,CA
Whittier College,Whittier,CA
William Howard Taft University,Denver,CO
Woodbury University,Burbank,CA
The Wright Institute,Berkeley,CA
Western State University - College of Law,Fullerton,CA
Thomas Jefferson School of Law,San Diego,CA
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA
Yuba College,Marysville,CA
The Salon Professional Academy - Grand Junction,Grand Junction,CO
Adams State University,Alamosa,CO
Aims Community College,Greeley,CO
Arapahoe Community College,Littleton,CO
Bel-Rea Institute of Animal Technology,Denver,CO
Everest College - Colorado Springs,Colorado Springs,CO
Boulder College of Massage Therapy,Boulder,CO
UCH-Memorial Hospital,Colorado Springs,CO
University of Colorado Denver,Aurora,CO
University of Colorado at Colorado Springs,Colorado Springs,CO
Redstone College,Broomfield,CO
University of Colorado at Boulder,Boulder,CO
Colorado Christian University,Lakewood,CO
Colorado College,Colorado Springs,CO
Concorde Career College - Aurora,Aurora,CO
The Art Institute of Colorado,Denver,CO
Colorado Mountain College,Glenwood Springs,CO
Colorado Northwestern Community College,Rangely,CO
Colorado School of Mines,Golden,CO
Colorado School of Trades,Lakewood,CO
Colorado State University,Fort Collins,CO
Colorado Technical University,Colorado Springs,CO
Community College of Aurora,Aurora,CO
CollegeAmerica - Denver,Denver,CO
Delta Montrose Technical College,Delta,CO
Community College of Denver,Denver,CO
Lincoln College of Technology - Denver,Denver,CO
Denver Seminary,Littleton,CO
University of Denver,Denver,CO
Emily Griffith Technical College,Denver,CO
Fort Lewis College,Durango,CO
Front Range Community College,Westminster,CO
Glenwood Beauty Academy,Glenwood Springs,CO
Hair Dynamics Education Center,Fort Collins,CO
Iliff School of Theology,Denver,CO
International Beauty Academy,Colorado Springs,CO
Lamar Community College,Lamar,CO
Colorado Mesa University,Grand Junction,CO
Metropolitan State University of Denver,Denver,CO
Morgan Community College,Fort  Morgan,CO
Naropa University,Boulder,CO
Nazarene Bible College,Colorado Springs,CO
Northeastern Junior College,Sterling,CO
University of Northern Colorado,Greeley,CO
Otero Junior College,La Junta,CO
Everest College - Thornton,Thornton,CO
Pikes Peak Community College,Colorado Springs,CO
IBMC College,Colorado Springs,CO
Pueblo Community College,Pueblo,CO
Red Rocks Community College,Lakewood,CO
Regis University,Denver,CO
Rocky Mountain College of Art and Design,Denver,CO
Montessori Education Center of the Rockies,Boulder,CO
San Juan Basin Technical College,Mancos,CO
Colorado State University - Pueblo,Pueblo,CO
Pickens Technical College,Aurora,CO
IntelliTec College - Colorado Springs,Colorado Springs,CO
IntelliTec College - Grand Junction,Grand Junction,CO
Empire Beauty School - Westminster,Westminster,CO
Trinidad State Junior College,Trinidad,CO
Western State College of Colorado,Gunnison,CO
Yeshiva Toras Chaim Talmudical Seminary,Denver,CO
Albertus Magnus College,New Haven,CT
Paul Mitchell The School - Danbury,Danbury,CT
Asnuntuck Community College,Enfield,CT
Bais Binyomin Academy,Monsey,NY
Branford Hall Career Institute - Branford Campus,Branford,CT
Lincoln College of New England,Southington,CT
Bridgeport Hospital,Bridgeport,CT
University of Bridgeport,Bridgeport,CT
Butler Business School Inc,Bridgeport,CT
Central Connecticut State University,New Britain,CT
Charter Oak State College,New Britain,CT
Connecticut Center for Massage Therapy - Newington,Newington,CT
Connecticut College,New London,CT
Porter and Chester Institute of Branford,Branford,CT
University of Connecticut,Storrs,CT
Danbury Hospital,Danbury,CT
Goodwin College,East Hartford,CT
Lincoln Technical Institute - East Windsor,East Windsor,CT
Eastern Connecticut State University,Willimantic,CT
Fairfield University,Fairfield,CT
Paul Mitchell the School North Haven,North Haven,CT
Capital Community College,Hartford,CT
Hartford Conservatory,Hartford,CT
American Institute,West Hartford,CT
Hartford Seminary,Hartford,CT
University of Hartford,West Hartford,CT
Holy Apostles College and Seminary,Cromwell,CT
Housatonic Community College,Bridgeport,CT
Leon Institute of Hair Design,Bridgeport,CT
Manchester Community College,Manchester,CT
Naugatuck Valley Community College,Waterbury,CT
Middlesex Community College - Middletown,Middletown,CT
Mitchell College,New London,CT
Three Rivers Community College,Norwich,CT
Renasci Academy of Hair Inc,Milford,CT
Lincoln Technical Institute - New Britain,New Britain,CT
New England Tractor Trailer Training School of Connecticut,Somers,CT
University of New Haven,West Haven,CT
Ridley-Lowell Business and Technical Institute - New London,New London,CT
Norwalk Community College,Norwalk,CT
Northwestern Connecticut Community College,Winsted,CT
Paier College of Art,Hamden,CT
Marinello School of Beauty,Meriden,CT
Porter and Chester Institute - Stratford,Stratford,CT
Post University,Waterbury,CT
Quinebaug Valley Community College,Danielson,CT
Quinnipiac University,Hamden,CT
Sacred Heart University,Fairfield,CT
University of Saint Joseph,West Hartford,CT
Gateway Community College,New Haven,CT
St Vincent's College,Bridgeport,CT
Stamford Health System,Stamford,CT
Southern Connecticut State University,New Haven,CT
Stone Academy - Hamden,West Haven,CT
Tri-State College of Acupuncture,New York,NY
Trinity College,Hartford,CT
Tunxis Community College,Farmington,CT
United States Coast Guard Academy,New London,CT
Wesleyan University,Middletown,CT
Westlawn Institute of Marine Technology,Bath,ME
Western Connecticut State University,Danbury,CT
Yale University,New Haven,CT
Beebe Medical Center,Lewes,DE
Dawn Career Institute,Wilmington,DE
